id,study,type,n,r,PP,math1,math2,age,grade,sample,design
yxj15,Cirino et al (2011),1,285,0.38,1,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.28,1,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.22,1,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.4,1,2,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.12,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.35,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.45,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.58,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.48,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.4,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.5,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.35,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.46,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.26,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.17,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.47,2,2,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.12,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.3,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.4,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.55,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.38,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.42,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.44,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.33,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.44,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.31,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.14,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.43,2,2,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.23,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.36,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.38,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.4,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.41,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.28,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.35,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.25,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.36,2,1,2,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.19,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.2,2,1,1,6.13,1,1,1
yxj15,Cirino et al (2011),1,285,0.41,2,2,2,6.13,1,1,1
yxj16,Cowan et al (2011),1,259,0.24,3,2,2,7.92,2,1,1
yxj16,Cowan et al (2011),1,259,0.25,3,1,1,7.92,2,1,1
yxj17_1,Anderson et al (2012),1,43,0.04,3,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.18,3,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.14,3,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.16,3,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.25,3,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.19,3,3,1,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.21,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.14,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.15,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.22,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.31,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.04,2,3,1,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.19,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.2,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.03,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.23,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.34,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.14,2,3,1,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.32,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.24,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.07,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.11,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.2,2,1,2,12,3,1,1
yxj17_1,Anderson et al (2012),1,43,0.08,2,3,1,12,3,1,1
yxj17_2,Anderson et al (2012),1,20,0.14,3,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.25,3,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.15,3,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.05,3,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.32,3,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.22,3,3,1,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.11,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.29,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.05,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.35,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.48,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.2,2,3,1,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.15,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.19,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.07,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.76,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.65,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.42,2,3,1,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.22,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.19,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.07,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.77,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.68,2,1,2,12,3,2,1
yxj17_2,Anderson et al (2012),1,20,0.56,2,3,1,12,3,2,1
yxj18,Branum et al (2012),1,258,0.49,1,2,1, ,2,1,1
yxj18,Branum et al (2012),1,258,0.38,1,3,1, ,2,1,1
yxj18,Branum et al (2012),1,258,0.16,2,2,1, ,2,1,1
yxj18,Branum et al (2012),1,258,0.05,2,3,1, ,2,1,1
yxj19,Fuchs et al (2012),1,279,0.21,3,2,1,7.59,2,1,1
yxj19,Fuchs et al (2012),1,279,0.3,3,3,1,7.59,2,1,1
yxj19,Fuchs et al (2012),1,279,0.12,3,2,1,7.59,2,1,1
yxj19,Fuchs et al (2012),1,279,0.23,3,3,1,7.59,2,1,1
yxj20,Bjork et al (2013),1,60,0.718,1,3,1,7.33,2,1,1
yxj20,Bjork et al (2013),1,60,0.718,1,2,1,7.33,2,1,1
yxj21,Campos et al (2013),1,103,0.403,3,3,1,8.25,2,1,1
yxj21,Campos et al (2013),1,103,0.195,3,1,1,8.25,2,1,1
yxj22,Cupples et al (2013),1,93,0.48,1,3,1,5,1,4,1
yxj22,Cupples et al (2013),1,93,0.44,1,3,1,5,1,4,1
yxj22,Cupples et al (2013),1,93,0.34,1,3,1,5,1,4,1
yxj23,Georgiou et al (2013),1,72,0.19,2,1,1,5.38,1,1,1
yxj23,Georgiou et al (2013),1,72,0.45,2,1,1,5.38,1,1,1
yxj23,Georgiou et al (2013),1,72,0.43,3,1,1,5.38,1,1,1
yxj23,Georgiou et al (2013),1,72,0.48,1,1,1,5.38,1,1,1
yxj24,Cowan et al (2014),1,258,0.15,3,1,1,7.92,2,1,1
yxj24,Cowan et al (2014),1,258,0.17,3,1,1,7.92,2,1,1
yxj24,Cowan et al (2014),1,258,0.27,3,2,2,7.92,2,1,1
yxj24,Cowan et al (2014),1,258,0.27,2,1,1,8.92,2,1,1
yxj24,Cowan et al (2014),1,258,0.15,2,1,1,8.92,2,1,1
yxj24,Cowan et al (2014),1,258,0.21,2,2,1,8.92,2,1,1
yxj24,Cowan et al (2014),1,258,0.21,2,3,1,8.92,2,1,1
yxj25,Foster et al (2015),1,208,0.51,1,,1,5.62,1,1,1
yxj25,Foster et al (2015),1,208,0.31,2,,1,5.62,1,1,1
yxj25,Foster et al (2015),1,208,0.1,3,,1,5.62,1,1,1
yxj26,Cui at al (2017),1,160,0.38,2,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.34,2,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.28,2,1,1,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.3,1,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.3,1,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.24,1,1,1,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.36,1,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.24,1,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.22,1,1,1,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.28,3,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.24,3,2,2,5.11,1,1,1
yxj26,Cui at al (2017),1,160,0.14,3,1,1,5.11,1,1,1
yxj27_1,Child et al (2018),1,233,0.36,1,2,2,7.58,2,1,1
yxj27_1,Child et al (2018),1,233,0.15,1,1,1,7.58,2,1,1
yxj27_2,Child et al (2018),1,261,0.18,2,2,1,9.89,,1,1
yxj27_2,Child et al (2018),1,261,0.42,2,2,2,9.89,,1,1
yxj27_3,Child et al (2018),1,245,0.18,2,3,1,9.89,,1,1
yxj27_4,Child et al (2018),1,168,0.22,2,1,1,9.89,,1,1
yxj28,Hecht(2001),1,201,0.37,3,2,1,7.71,2,1,1
yxj28,Hecht(2001),1,201,0.59,2,2,1,7.71,2,1,1
yxj28,Hecht(2001),1,201,0.47,1,2,1,7.71,2,1,1
yxj28,Hecht(2001),1,201,0.37,3,2,1,8.7,2,1,1
yxj28,Hecht(2001),1,201,0.54,2,2,1,8.7,2,1,1
yxj28,Hecht(2001),1,201,0.5,1,2,1,8.7,2,1,1
yxj28,Hecht(2001),1,201,0.42,3,2,1,10.17,3,1,1
yxj28,Hecht(2001),1,201,0.33,2,2,1,10.17,3,1,1
yxj28,Hecht(2001),1,201,0.56,1,2,1,10.17,3,1,1
yxj28,Hecht(2001),1,201,0.33,3,2,2,10.17,3,1,1
yxj28,Hecht(2001),1,201,0.48,2,2,2,10.17,3,1,1
yxj28,Hecht(2001),1,201,0.39,1,2,2,10.17,3,1,1
yxj28,Hecht(2001),1,201,0.41,3,2,1,11.23,3,1,1
yxj28,Hecht(2001),1,201,0.35,2,2,1,11.23,3,1,1
yxj28,Hecht(2001),1,201,0.56,1,2,1,11.23,3,1,1
yxj28,Hecht(2001),1,201,0.38,3,2,2,11.23,3,1,1
yxj28,Hecht(2001),1,201,0.61,2,2,2,11.23,3,1,1
yxj28,Hecht(2001),1,201,0.33,1,2,2,11.23,3,1,1
yxj29,Imbo(2007),1,63,0.14,3,2,2,11.08,3,1,1
yxj30_1,Jap(2017),1,75,0.223,3,2,2,6.4,2,1,1
yxj30_1,Jap(2017),1,75,0.298,1,2,2,6.4,2,1,1
yxj30_1,Jap(2017),1,75,0.196,2,2,2,6.4,2,1,1
yxj30_1,Jap(2017),1,75,0.277,2,2,2,6.4,2,1,1
yxj30_1,Jap(2017),1,75,0.135,2,2,2,6.4,2,1,1
yxj30_2,Jap(2017),1,64,0.276,3,2,2,7.6,2,1,1
yxj30_2,Jap(2017),1,64,0.158,1,2,2,7.6,2,1,1
yxj30_2,Jap(2017),1,64,0.42,2,2,2,7.6,2,1,1
yxj30_2,Jap(2017),1,64,0.187,2,2,2,7.6,2,1,1
yxj30_2,Jap(2017),1,64,0.259,2,2,2,7.6,2,1,1
yxj31_1,Kail(1999),1,24,0.1,3,2,1,10.25,,1,1
yxj31_1,Kail(1999),1,24,0.23,3,2,2,10.25,,1,1
yxj31_1,Kail(1999),1,24,0.33,3,3,1,10.25,,1,1
yxj31_2,Kail(1999),1,155,0.16,3,2,1,10.24,,1,1
yxj31_2,Kail(1999),1,155,0.32,3,2,2,10.24,,1,1
yxj31_2,Kail(1999),1,155,0.32,3,3,1,10.24,,1,1
